lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
11/14/2024,($0.31),time-after-hours,ACOG,Alpha Cognition Inc.,"$93,732,565",Sep/2025,($0.43),2,,,2.0,2025-11-13
N/A,($0.29),time-not-supplied,ILLR,Triller Group Inc.,"$93,313,114",Sep/2025,,1,,,1.0,2025-11-13
11/11/2024,($3.45),time-after-hours,LAZR,"Luminar Technologies, Inc. ","$92,832,018",Sep/2025,($1.31),2,,,2.0,2025-11-13
11/14/2024,($0.33),time-not-supplied,STTK,"Shattuck Labs, Inc.","$92,453,205",Sep/2025,($0.15),4,,,4.0,2025-11-13
11/14/2024,($1.29),time-not-supplied,SLNH,"Soluna Holdings, Inc.","$91,342,253",Sep/2025,($0.61),1,,,1.0,2025-11-13
11/14/2024,($0.34),time-not-supplied,SPAI,Safe Pro Group Inc.,"$89,734,354",Sep/2025,($0.11),1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,OPTX,"Syntec Optics Holdings, Inc.","$88,608,542",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.13),time-not-supplied,CRDL,Cardiol Therapeutics Inc.,"$87,875,639",Sep/2025,($0.09),2,,,2.0,2025-11-13
N/A,($0.09),time-not-supplied,ESLA,"Estrella Immunopharma, Inc.","$84,880,199",Sep/2025,,1,,,1.0,2025-11-13
11/12/2024,($0.14),time-after-hours,HYPR,"Hyperfine, Inc. ","$81,724,241",Sep/2025,($0.10),1,,,1.0,2025-11-13
N/A,($17.31),time-not-supplied,RYM,"RYTHM, Inc.","$80,843,670",Sep/2025,,1,,,1.0,2025-11-13
11/12/2024,($0.05),time-after-hours,SHIM,Shimmick Corporation,"$80,776,523",Sep/2025,($0.09),1,,,1.0,2025-11-13
N/A,($0.26),time-after-hours,ORGN,"Origin Materials, Inc.","$78,307,140",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.23),time-not-supplied,BRLS,Borealis Foods Inc.,"$77,829,941",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.72),time-not-supplied,NVFY,"Nova Lifestyle, Inc","$76,706,264",Sep/2025,,1,,,1.0,2025-11-13
11/07/2024,$0.06,time-after-hours,CBUS,"Cibus, Inc.","$74,306,583",Sep/2025,($0.41),2,,0.06,2.0,2025-11-13
N/A,($0.15),time-not-supplied,FDSB,"Fifth District Bancorp, Inc.","$74,057,740",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.76),time-not-supplied,FBIO,"Fortress Biotech, Inc.","$73,494,240",Sep/2025,($0.43),1,,,1.0,2025-11-13
N/A,$16,time-not-supplied,CHAI,Defiance Israel Bond ETF,"$73,115,138",Sep/2025,,1,,16.0,1.0,2025-11-13
11/13/2024,($0.04),time-after-hours,WYY,WidePoint Corporation,"$67,069,575",Sep/2025,($0.05),2,,,2.0,2025-11-13
N/A,($0.06),time-not-supplied,TZUP,Thumzup Media Corporation,"$63,876,804",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.13),time-not-supplied,ATPC,Agape ATP Corporation,"$62,006,672",Sep/2025,,1,,,1.0,2025-11-13
